Variable2,Variable
Emi_CO,Emissions|CO
Emi_CO_AFO,Emissions|CO|AFOLU
Emi_CO_AFO_Agr,Emissions|CO|AFOLU|Agriculture
Emi_CO_AFO_Lan,Emissions|CO|AFOLU|Land
Emi_CO_Ene,Emissions|CO|Energy
Emi_CO_Ene_Dem_Ind,Emissions|CO|Energy|Demand|Industry
Emi_CO_Ene_Dem_Tra,Emissions|CO|Energy|Demand|Transportation
Emi_CO_Ene_Sup,Emissions|CO|Energy|Supply
Emi_CO_Ind_Pro,Emissions|CO|Industrial Processes
Emi_CO_Oth,Emissions|CO|Other
Emi_CO_Was,Emissions|CO|Waste
Emi_CO2,Emissions|CO2
Emi_CO2_AFO,Emissions|CO2|AFOLU
Emi_CO2_AFO_Agr,Emissions|CO2|AFOLU|Agriculture
Emi_CO2_AFO_Lan,Emissions|CO2|AFOLU|Land
Emi_CO2_Ene,Emissions|CO2|Energy
Emi_CO2_Ene_Dem,Emissions|CO2|Energy|Demand
Emi_CO2_Ene_Dem_AFO,Emissions|CO2|Energy|Demand|AFOFI
Emi_CO2_Ene_Dem_Ind,Emissions|CO2|Energy|Demand|Industry
Emi_CO2_Ene_Dem_Ind_Che,Emissions|CO2|Energy|Demand|Industry|Chemicals
Emi_CO2_Ene_Dem_Ind_Oth,Emissions|CO2|Energy|Demand|Industry|Other
Emi_CO2_Ene_Dem_Ind_Pul_and_Pap,Emissions|CO2|Energy|Demand|Industry|Pulp and Paper
Emi_CO2_Ene_Dem_Oth_Sec,Emissions|CO2|Energy|Demand|Other Sector
Emi_CO2_Ene_Dem_Tra,Emissions|CO2|Energy|Demand|Transportation
Emi_CO2_Ene_Dem_Tra_Avi,Emissions|CO2|Energy|Demand|Transportation|Aviation
Emi_CO2_Ene_Dem_Tra_Rai,Emissions|CO2|Energy|Demand|Transportation|Rail
Emi_CO2_Ene_Dem_Tra_Roa,Emissions|CO2|Energy|Demand|Transportation|Road
Emi_CO2_Ene_Sup,Emissions|CO2|Energy|Supply
Emi_CO2_Ene_Sup_Ele,Emissions|CO2|Energy|Supply|Electricity
Emi_CO2_Ene_Sup_Gas,Emissions|CO2|Energy|Supply|Gases
Emi_CO2_Ene_Sup_Heat,Emissions|CO2|Energy|Supply|Heat
Emi_CO2_Ene_Sup_Liq,Emissions|CO2|Energy|Supply|Liquids
Emi_CO2_Ene_Sup_Solids,Emissions|CO2|Energy|Supply|Solids
Emi_CO2_Ind_Pro,Emissions|CO2|Industrial Processes
Emi_CO2_Ind_Pro_Che,Emissions|CO2|Industrial Processes|Chemicals
Emi_CO2_Oth,Emissions|CO2|Other
Emi_CO2_Was,Emissions|CO2|Waste
Emi_N2O,Emissions|N2O
Emi_N2O_AFO,Emissions|N2O|AFOLU
Emi_N2O_AFO_Agr,Emissions|N2O|AFOLU|Agriculture
Emi_N2O_AFO_Agr_Liv_Man_Man,Emissions|N2O|AFOLU|Agriculture|Livestock|Manure Management
Emi_N2O_AFO_Agr_Man_Soi,Emissions|N2O|AFOLU|Agriculture|Managed Soils
Emi_N2O_AFO_Lan,Emissions|N2O|AFOLU|Land
Emi_N2O_Ene,Emissions|N2O|Energy
Emi_N2O_Ene_Dem_Tra,Emissions|N2O|Energy|Demand|Transportation
Emi_N2O_Ind_Pro,Emissions|N2O|Industrial Processes
Emi_N2O_Ind_Pro_Che,Emissions|N2O|Industrial Processes|Chemicals
Emi_N2O_Oth,Emissions|N2O|Other
Emi_N2O_Was,Emissions|N2O|Waste
Emi_NH3,Emissions|NH3
Emi_NH3_AFO,Emissions|NH3|AFOLU
Emi_NH3_AFO_Agr,Emissions|NH3|AFOLU|Agriculture
Emi_NH3_AFO_Lan,Emissions|NH3|AFOLU|Land
Emi_NH3_Ene,Emissions|NH3|Energy
Emi_NH3_Ene_Dem_Ind,Emissions|NH3|Energy|Demand|Industry
Emi_NH3_Ene_Dem_Tra,Emissions|NH3|Energy|Demand|Transportation
Emi_NH3_Ene_Sup,Emissions|NH3|Energy|Supply
Emi_NH3_Ind_Pro,Emissions|NH3|Industrial Processes
Emi_NH3_Oth,Emissions|NH3|Other
Emi_NH3_Was,Emissions|NH3|Waste
Emi_NOx,Emissions|NOx
Emi_NOx_AFO,Emissions|NOx|AFOLU
Emi_NOx_AFO_Agr,Emissions|NOx|AFOLU|Agriculture
Emi_NOx_AFO_Lan,Emissions|NOx|AFOLU|Land
Emi_NOx_Ene,Emissions|NOx|Energy
Emi_NOx_Ene_Dem_Ind,Emissions|NOx|Energy|Demand|Industry
Emi_NOx_Ene_Dem_Tra,Emissions|NOx|Energy|Demand|Transportation
Emi_NOx_Ene_Sup,Emissions|NOx|Energy|Supply
Emi_NOx_Ind_Pro,Emissions|NOx|Industrial Processes
Emi_NOx_Oth,Emissions|NOx|Other
Emi_NOx_Was,Emissions|NOx|Waste
Emi_OC,Emissions|OC
Emi_OC_AFO,Emissions|OC|AFOLU
Emi_OC_AFO_Agr,Emissions|OC|AFOLU|Agriculture
Emi_OC_AFO_Lan,Emissions|OC|AFOLU|Land
Emi_OC_Ene,Emissions|OC|Energy
Emi_OC_Ene_Dem_Ind,Emissions|OC|Energy|Demand|Industry
Emi_OC_Ene_Dem_Tra,Emissions|OC|Energy|Demand|Transportation
Emi_OC_Ene_Sup,Emissions|OC|Energy|Supply
Emi_OC_Ind_Pro,Emissions|OC|Industrial Processes
Emi_OC_Oth,Emissions|OC|Other
Emi_OC_Was,Emissions|OC|Waste
Emi_Sul,Emissions|Sulfur
Emi_Sul_AFO,Emissions|Sulfur|AFOLU
Emi_Sul_AFO_Agr,Emissions|Sulfur|AFOLU|Agriculture
Emi_Sul_AFO_Lan,Emissions|Sulfur|AFOLU|Land
Emi_Sul_Ene,Emissions|Sulfur|Energy
Emi_Sul_Ene_Dem_Ind,Emissions|Sulfur|Energy|Demand|Industry
Emi_Sul_Ene_Dem_Tra,Emissions|Sulfur|Energy|Demand|Transportation
Emi_Sul_Ene_Sup,Emissions|Sulfur|Energy|Supply
Emi_Sul_Ind_Pro,Emissions|Sulfur|Industrial Processes
Emi_Sul_Oth,Emissions|Sulfur|Other
Emi_Sul_Was,Emissions|Sulfur|Waste
Emi_VOC,Emissions|VOC
Emi_VOC_AFO,Emissions|VOC|AFOLU
Emi_VOC_AFO_Agr,Emissions|VOC|AFOLU|Agriculture
Emi_VOC_AFO_Lan,Emissions|VOC|AFOLU|Land
Emi_VOC_Ene,Emissions|VOC|Energy
Emi_VOC_Ene_Dem_Ind,Emissions|VOC|Energy|Demand|Industry
Emi_VOC_Ene_Dem_Tra,Emissions|VOC|Energy|Demand|Transportation
Emi_VOC_Ene_Sup,Emissions|VOC|Energy|Supply
Emi_VOC_Ind_Pro,Emissions|VOC|Industrial Processes
Emi_VOC_Oth,Emissions|VOC|Other
Emi_VOC_Was,Emissions|VOC|Waste
Agr_Pro_Ene,Agricultural Production|Energy
Agr_Pro_Ene_Cro,Agricultural Production|Energy|Crops
Agr_Pro_NonEne,Agricultural Production|Non-Energy
Prc_Agr_Cor_Ind,Price|Agriculture|Corn|Index
Prc_Agr_Soy_Ind,Price|Agriculture|Soybean|Index
Prc_Agr_Whe_Ind,Price|Agriculture|Wheat|Index
Agr_Pro_Ene_Rsd,Agricultural Production|Energy|Residues
Agr_Pro_NonEneCro,Agricultural Production|Non-Energy|Crops
Agr_Pro_NonEneLiv,Agricultural Production|Non-Energy|Livestock
Fer_Use_Pot,Fertilizer Use|Potassium
Car_Seq_Dir_Air_Cap,Carbon Sequestration|Direct Air Capture
Car_Seq_Enh_Wea,Carbon Sequestration|Enhanced Weathering
Car_Seq_Lan_Use_Aff,Carbon Sequestration|Land Use|Afforestation
Car_Seq_Lan_Use_Bio,Carbon Sequestration|Land Use|Biochar
Car_Seq_Lan_Use_Soi_Car_Man,Carbon Sequestration|Land Use|Soil Carbon Management
Frc_Alb_Cha_and_Min_Dus,Forcing|Albedo Change and Mineral Dust
Frc_F-G,Forcing|F-Gases
Pop_Rur,Population|Rural
Pop_Wor_Age,Population|Working Age
Val_Add_Agr,Value Added|Agriculture
Cap_For,Capital Formation
Exp_gov,Expenditure|government
Exp_hou,Expenditure|household
Exp,Export
Imp,Import
Cap_Sto,Capital Stock
Pol_Cos_Wel_Cha,Policy Cost|Welfare Change
Emi_CO2_Ene_Dem_Tra_Fre,Emissions|CO2|Energy|Demand|Transportation|Freight
Emi_CO2_Ene_Dem_Tra_Pss,Emissions|CO2|Energy|Demand|Transportation|Passenger
Emi_CO2_Ene_Sup_Oth_Sec,Emissions|CO2|Energy|Supply|Other Sector
Emi_PFC,Emissions|PFC
Emp,Employment
Une,Unemployment
Une_Rat,Unemployment|Rate
Emp_Agr,Employment|Agriculture
Emp_Ser,Employment|Service
Cum_Cap_Ele_Hyd,Cumulative Capacity|Electricity|Hydro
Cap_Add_Ele_Bio_w_CCS,Capacity Additions|Electricity|Biomass|w/ CCS
Cap_Add_Ele_Bio_wo_CCS,Capacity Additions|Electricity|Biomass|w/o CCS
Cap_Add_Ele_Coa_w_CCS,Capacity Additions|Electricity|Coal|w/ CCS
Cap_Add_Ele_Coa_wo_CCS,Capacity Additions|Electricity|Coal|w/o CCS
Cap_Add_Ele_Gas_w_CCS,Capacity Additions|Electricity|Gas|w/ CCS
Cap_Add_Ele_Gas_wo_CCS,Capacity Additions|Electricity|Gas|w/o CCS
Cap_Add_Ele_Hyd,Capacity Additions|Electricity|Hydro
Cap_Add_Ele_Nuc,Capacity Additions|Electricity|Nuclear
Cap_Add_Ele_Oil_w_CCS,Capacity Additions|Electricity|Oil|w/ CCS
Cap_Add_Ele_Oil_wo_CCS,Capacity Additions|Electricity|Oil|w/o CCS
Cap_Add_Ele_SolarCSP,Capacity Additions|Electricity|Solar|CSP
Cap_Add_Ele_SolarPV,Capacity Additions|Electricity|Solar|PV
Cap_Add_Ele_Win,Capacity Additions|Electricity|Wind
Cap_Add_Ele_Win_Off,Capacity Additions|Electricity|Wind|Offshore
Cap_Add_Ele_Win_Ons,Capacity Additions|Electricity|Wind|Onshore
Cap_Ele_Pea_Dem,Capacity|Electricity|Peak Demand
Cap_Gas_Bio,Capacity|Gases|Biomass
Cap_Gas_Bio_w_CCS,Capacity|Gases|Biomass|w/ CCS
Cap_Gas_Bio_wo_CCS,Capacity|Gases|Biomass|w/o CCS
Cap_Gas_Coa,Capacity|Gases|Coal
Cap_Gas_Coa_w_CCS,Capacity|Gases|Coal|w/ CCS
Cap_Gas_Coa_wo_CCS,Capacity|Gases|Coal|w/o CCS
Cap_Hyd_Bio,Capacity|Hydrogen|Biomass
Cap_Hyd_Bio_w_CCS,Capacity|Hydrogen|Biomass|w/ CCS
Cap_Hyd_Bio_wo_CCS,Capacity|Hydrogen|Biomass|w/o CCS
Cap_Hyd_Coa,Capacity|Hydrogen|Coal
Cap_Hyd_Coa_w_CCS,Capacity|Hydrogen|Coal|w/ CCS
Cap_Hyd_Coa_wo_CCS,Capacity|Hydrogen|Coal|w/o CCS
Cap_Hyd_Ele,Capacity|Hydrogen|Electricity
Cap_Hyd_Gas,Capacity|Hydrogen|Gas
Cap_Hyd_Gas_w_CCS,Capacity|Hydrogen|Gas|w/ CCS
Cap_Hyd_Gas_wo_CCS,Capacity|Hydrogen|Gas|w/o CCS
Cap_Liq_Bio,Capacity|Liquids|Biomass
Cap_Liq_Bio_w_CCS,Capacity|Liquids|Biomass|w/ CCS
Cap_Liq_Bio_wo_CCS,Capacity|Liquids|Biomass|w/o CCS
Cap_Liq_Coa,Capacity|Liquids|Coal
Cap_Liq_Coa_w_CCS,Capacity|Liquids|Coal|w/ CCS
Cap_Liq_Coa_wo_CCS,Capacity|Liquids|Coal|w/o CCS
Cap_Liq_Gas,Capacity|Liquids|Gas
Cap_Liq_Gas_w_CCS,Capacity|Liquids|Gas|w/ CCS
Cap_Liq_Gas_wo_CCS,Capacity|Liquids|Gas|w/o CCS
Cap_Liq_Oil,Capacity|Liquids|Oil
Cum_Cap_Ele_Geo,Cumulative Capacity|Electricity|Geothermal
Cum_Cap_Gas_Bio,Cumulative Capacity|Gases|Biomass
Cum_Cap_Gas_Bio_w_CCS,Cumulative Capacity|Gases|Biomass|w/ CCS
Cum_Cap_Gas_Bio_wo_CCS,Cumulative Capacity|Gases|Biomass|w/o CCS
Cum_Cap_Gas_Coa,Cumulative Capacity|Gases|Coal
Cum_Cap_Gas_Coa_w_CCS,Cumulative Capacity|Gases|Coal|w/ CCS
Cum_Cap_Gas_Coa_wo_CCS,Cumulative Capacity|Gases|Coal|w/o CCS
Cum_Cap_Hyd_Coa,Cumulative Capacity|Hydrogen|Coal
Cum_Cap_Hyd_Coa_w_CCS,Cumulative Capacity|Hydrogen|Coal|w/ CCS
Cum_Cap_Hyd_Coa_wo_CCS,Cumulative Capacity|Hydrogen|Coal|w/o CCS
Cum_Cap_Hyd_Gas,Cumulative Capacity|Hydrogen|Gas
Cum_Cap_Hyd_Gas_w_CCS,Cumulative Capacity|Hydrogen|Gas|w/ CCS
Cum_Cap_Hyd_Gas_wo_CCS,Cumulative Capacity|Hydrogen|Gas|w/o CCS
Cum_Cap_Liq_Bio,Cumulative Capacity|Liquids|Biomass
Cum_Cap_Liq_Bio_w_CCS,Cumulative Capacity|Liquids|Biomass|w/ CCS
Cum_Cap_Liq_Bio_wo_CCS,Cumulative Capacity|Liquids|Biomass|w/o CCS
Cum_Cap_Liq_Coa,Cumulative Capacity|Liquids|Coal
Cum_Cap_Liq_Coa_w_CCS,Cumulative Capacity|Liquids|Coal|w/ CCS
Cum_Cap_Liq_Coa_wo_CCS,Cumulative Capacity|Liquids|Coal|w/o CCS
Cum_Cap_Liq_Gas,Cumulative Capacity|Liquids|Gas
Cum_Cap_Liq_Gas_w_CCS,Cumulative Capacity|Liquids|Gas|w/ CCS
Cum_Cap_Liq_Gas_wo_CCS,Cumulative Capacity|Liquids|Gas|w/o CCS
Cum_Cap_Liq_Oil,Cumulative Capacity|Liquids|Oil
Cap_Add_Ele_Bio,Capacity Additions|Electricity|Biomass
Cap_Add_Ele_Coa,Capacity Additions|Electricity|Coal
Cap_Add_Ele_Gas,Capacity Additions|Electricity|Gas
Cap_Add_Ele_Geo,Capacity Additions|Electricity|Geothermal
Cap_Add_Ele_Oil,Capacity Additions|Electricity|Oil
Cap_Add_Ele_Solar,Capacity Additions|Electricity|Solar
Cap_Add_Ele_Sto_Cap,Capacity Additions|Electricity|Storage Capacity
Cap_Add_Ele_Tra_Gri,Capacity Additions|Electricity|Transmissions Grid
Cap_Ele_Sto_Cap,Capacity|Electricity|Storage Capacity
Cap_Ele_Tra_Gri,Capacity|Electricity|Transmissions Grid
Fin_Ene_NonEneUse,Final Energy|Non-Energy Use
Fin_Ene_NonEneUse_Coa,Final Energy|Non-Energy Use|Coal
Fin_Ene_NonEneUse_Oil,Final Energy|Non-Energy Use|Oil
Fin_Ene_NonEneUse_Gas,Final Energy|Non-Energy Use|Gas
Fin_Ene_NonEneUse_Bio,Final Energy|Non-Energy Use|Biomass
Fin_Ene_Tra_Fre_Ele,Final Energy|Transportation|Freight|Electricity
Fin_Ene_Tra_Fre_Gas,Final Energy|Transportation|Freight|Gases
Fin_Ene_Tra_Fre_Hyd,Final Energy|Transportation|Freight|Hydrogen
Fin_Ene_Tra_Fre_Liq,Final Energy|Transportation|Freight|Liquids
Fin_Ene_Tra_Fre_Liq_Oil,Final Energy|Transportation|Freight|Liquids|Oil
Fin_Ene_Tra_Fre_Oth,Final Energy|Transportation|Freight|Other
Fin_Ene_Tra_Pss_Ele,Final Energy|Transportation|Passenger|Electricity
Fin_Ene_Tra_Pss_Gas,Final Energy|Transportation|Passenger|Gases
Fin_Ene_Tra_Pss_Hyd,Final Energy|Transportation|Passenger|Hydrogen
Fin_Ene_Tra_Pss_Liq,Final Energy|Transportation|Passenger|Liquids
Fin_Ene_Tra_Pss_Liq_Oil,Final Energy|Transportation|Passenger|Liquids|Oil
Fin_Ene_Tra_Pss_Oth,Final Energy|Transportation|Passenger|Other
Prc_Sec_Ene_Liq,Price|Secondary Energy|Liquids
Res_Cap_Ele_Sto,Reservoir Capacity|Electricity|Storage
Prm_Ene_Bio_Ele,Primary Energy|Biomass|Electricity
Prm_Ene_Bio_Ele_w_CCS,Primary Energy|Biomass|Electricity|w/ CCS
Prm_Ene_Bio_Ele_wo_CCS,Primary Energy|Biomass|Electricity|w/o CCS
Prm_Ene_Coa_Ele_w_CCS,Primary Energy|Coal|Electricity|w/ CCS
Prm_Ene_Coa_Ele_wo_CCS,Primary Energy|Coal|Electricity|w/o CCS
Prm_Ene_Gas_Ele_w_CCS,Primary Energy|Gas|Electricity|w/ CCS
Prm_Ene_Gas_Ele_wo_CCS,Primary Energy|Gas|Electricity|w/o CCS
Prm_Ene_Oil_Ele,Primary Energy|Oil|Electricity
Prm_Ene_Oil_Ele_w_CCS,Primary Energy|Oil|Electricity|w/ CCS
Prm_Ene_Oil_Ele_wo_CCS,Primary Energy|Oil|Electricity|w/o CCS
Sec_Ene_Ele_Fos,Secondary Energy|Electricity|Fossil
Sec_Ene_Ele_Fos_w_CCS,Secondary Energy|Electricity|Fossil|w/ CCS
Sec_Ene_Ele_Fos_wo_CCS,Secondary Energy|Electricity|Fossil|w/o CCS
Sec_Ene_Ele_Cur,Secondary Energy|Electricity|Curtailment
Sec_Ene_Ele_Sto_Los,Secondary Energy|Electricity|Storage Losses
Sec_Ene_Ele_Tra_Los,Secondary Energy|Electricity|Transmission Losses
Ene_Ser_Tra_Fre_Avi,Energy Service|Transportation|Freight|Aviation
Ene_Ser_Tra_Fre_Nav,Energy Service|Transportation|Freight|Navigation
Ene_Ser_Tra_Fre_Oth,Energy Service|Transportation|Freight|Other
Ene_Ser_Tra_Fre_Rai,Energy Service|Transportation|Freight|Railways
Ene_Ser_Tra_Fre_Roa,Energy Service|Transportation|Freight|Road
Ene_Ser_Tra_Pss_Avi,Energy Service|Transportation|Passenger|Aviation
Ene_Ser_Tra_Pss_Nav,Energy Service|Transportation|Passenger|Navigation
Ene_Ser_Tra_Pss_Oth,Energy Service|Transportation|Passenger|Other
Ene_Ser_Tra_Pss_Rai,Energy Service|Transportation|Passenger|Railways
Ene_Ser_Tra_Pss_Roa,Energy Service|Transportation|Passenger|Road
Ene_Ser_Tra_Fre_Int_Shi,Energy Service|Transportation|Freight|International Shipping
Ene_Ser_Tra_Pss_Bic_and_Wal,Energy Service|Transportation|Passenger|Bicycling and Walking
Ene_Ser_Tra_Pss_Roa_2W_and_3W,Energy Service|Transportation|Passenger|Road|2W and 3W
Ene_Ser_Tra_Pss_Roa_LDV,Energy Service|Transportation|Passenger|Road|LDV
Ene_Ser_Tra_Pss_Roa_Bus,Energy Service|Transportation|Passenger|Road|Bus
Foo_Dem,Food Demand
Foo_Dem_Cro,Food Demand|Crops
Foo_Dem_Liv,Food Demand|Livestock
Tar_Ave,Tariffs|Average
Deb_Ser,Debt Service
Exp_Dev_Cou_Sha,Export|Developing Country Share
Rev_gov,Revenue|government
Sub_Ene_Fos,Subsidies|Energy|Fossil
Sub_Ene,Subsidies|Energy
Sub_Foo,Subsidies|Food
Tar_Ave_Imp,Tariffs|Average|Imports
Rev_gov_Tax,Revenue|government|Tax
Exp_Med_Sys_Inc,Expenditure|Medical System|Incremental
Inv_Med_Sys,Investment|Medical System
Exp_hou_Ene,Expenditure|household|Energy
Exp_hou_Foo,Expenditure|household|Food
Exp_hou_Ser,Expenditure|household|Services
Exp_hou_Ser_hea,Expenditure|household|Services|health
Exp_Ene_Fos,Expenditure|Energy|Fossil
Mat_Cns_Dom,Material Consumption|Domestic
Pro_Cem,Production|Cement
Pro_Che,Production|Chemicals
Pro_Non_met,Production|Non-ferrous metals
Pro_Pul_and_Pap,Production|Pulp and Paper
Pro_Ste,Production|Steel
Exp_RnD,Expenditure|RnD
Inv_Inf,Investment|Infrastructure
Pop_Mob_Net_Acc,Population|Mobile Network Access
Pop_Roa_Acc,Population|Road Access
Inv,Investment
Inv_Ene_Sup_Ext_Coa,Investment|Energy Supply|Extraction|Coal
Inv_Ene_Sup_Ext_Gas,Investment|Energy Supply|Extraction|Gas
Inv_Ene_Sup_Ext_Oil,Investment|Energy Supply|Extraction|Oil
Inv_Ene_Sup_Ele_Coa,Investment|Energy Supply|Electricity|Coal
Inv_Ene_Sup_Ele_Coa_w_CCS,Investment|Energy Supply|Electricity|Coal|w/ CCS
Inv_Ene_Sup_Ele_Coa_wo_CCS,Investment|Energy Supply|Electricity|Coal|w/o CCS
Inv_Ene_Sup_Ele_Gas,Investment|Energy Supply|Electricity|Gas
Inv_Ene_Sup_Ele_Gas_w_CCS,Investment|Energy Supply|Electricity|Gas|w/ CCS
Inv_Ene_Sup_Ele_Gas_wo_CCS,Investment|Energy Supply|Electricity|Gas|w/o CCS
Inv_Ene_Sup_Ele_Oil,Investment|Energy Supply|Electricity|Oil
Inv_Ene_Sup_Ele_Oil_w_CCS,Investment|Energy Supply|Electricity|Oil|w/ CCS
Inv_Ene_Sup_Ele_Oil_wo_CCS,Investment|Energy Supply|Electricity|Oil|w/o CCS
Inv_Ene_Sup_Ele_Bio,Investment|Energy Supply|Electricity|Biomass
Inv_Ene_Sup_Ele_Bio_w_CCS,Investment|Energy Supply|Electricity|Biomass|w/ CCS
Inv_Ene_Sup_Ele_Bio_wo_CCS,Investment|Energy Supply|Electricity|Biomass|w/o CCS
Inv_Ene_Sup_Ele_Nuc,Investment|Energy Supply|Electricity|Nuclear
Inv_Ene_Sup_Ele_NonBioRen,Investment|Energy Supply|Electricity|Non-Biomass Renewables
Inv_Ene_Sup_Ele_Hyd,Investment|Energy Supply|Electricity|Hydro
Inv_Ene_Sup_Ele_Solar,Investment|Energy Supply|Electricity|Solar
Inv_Ene_Sup_Ele_Win,Investment|Energy Supply|Electricity|Wind
Inv_Ene_Sup_Ele_Geo,Investment|Energy Supply|Electricity|Geothermal
Inv_Ene_Sup_Ele_Oce,Investment|Energy Supply|Electricity|Ocean
Inv_Ene_Sup_Liq_Oil,Investment|Energy Supply|Liquids|Oil
Inv_Ene_Sup_Liq_Coa_and_Gas,Investment|Energy Supply|Liquids|Coal and Gas
Inv_Ene_Sup_Liq_Bio,Investment|Energy Supply|Liquids|Biomass
Inv_Ene_Eff,Investment|Energy Efficiency
Inv_Ene_Dem_Tra_Pss_Roa_LDV_ICE,Investment|Energy Demand|Transportation|Passenger|Road|LDV|ICE
Inv_Ene_Dem_Tra_Pss_Roa_LDV_EV,Investment|Energy Demand|Transportation|Passenger|Road|LDV|EV
Inv_Ene_Dem_Tra_Pss_Roa_LDV_FCV,Investment|Energy Demand|Transportation|Passenger|Road|LDV|FCV
Inv_Ene_Dem_Tra_Fre_Roa_HDT_ICE,Investment|Energy Demand|Transportation|Freight|Road|HDT|ICE
Inv_Ene_Dem_Tra_Fre_Roa_HDT_EV,Investment|Energy Demand|Transportation|Freight|Road|HDT|EV
Inv_Ene_Dem_Tra_Fre_Roa_HDT_FCV,Investment|Energy Demand|Transportation|Freight|Road|HDT|FCV
Inv_Inf_Res_and_Com_Low_Bui,Investment|Infrastructure|Residential and Commercial|Low-Efficiency Buildings
Inv_Inf_Res_and_Com_Med_Bui,Investment|Infrastructure|Residential and Commercial|Medium-Efficiency Buildings
Inv_Inf_Res_and_Com_Hig_Bui,Investment|Infrastructure|Residential and Commercial|High-Efficiency Buildings
Inv_Inf_Res_and_Com_Bui_Ret,Investment|Infrastructure|Residential and Commercial|Building Retrofits
Inv_Inf_Wat_Coo,Investment|Infrastructure|Water|Cooling
Inv_Inf_Wat_Irr,Investment|Infrastructure|Water|Irrigation
Inv_Inf_Wat_Oth,Investment|Infrastructure|Water|Other
Pol_Cos_Def_for_CAV,Policy Cost|Default for CAV
Dir_Ris_Ass_Los,Direct Risk|Asset Loss
Fis_Gap,Fiscal Gap
Fis_Res,Fiscal Resilience
Ind_Ris_GDP_Gro,Indirect Risk|GDP Growth
Ind_Ris_Pub_Deb,Indirect Risk|Public Debt
Cap_Cos_Ele_Bio_w_CCS,Capital Cost|Electricity|Biomass|w/ CCS
Cap_Cos_Ele_Bio_wo_CCS,Capital Cost|Electricity|Biomass|w/o CCS
Cap_Cos_Ele_Coa_w_CCS,Capital Cost|Electricity|Coal|w/ CCS
Cap_Cos_Ele_Coa_wo_CCS,Capital Cost|Electricity|Coal|w/o CCS
Cap_Cos_Ele_Gas_w_CCS,Capital Cost|Electricity|Gas|w/ CCS
Cap_Cos_Ele_Gas_wo_CCS,Capital Cost|Electricity|Gas|w/o CCS
Cap_Cos_Ele_Geo,Capital Cost|Electricity|Geothermal
Cap_Cos_Ele_Hyd,Capital Cost|Electricity|Hydro
Cap_Cos_Ele_Nuc,Capital Cost|Electricity|Nuclear
Cap_Cos_Ele_SolarCSP,Capital Cost|Electricity|Solar|CSP
Cap_Cos_Ele_SolarPV,Capital Cost|Electricity|Solar|PV
Cap_Cos_Ele_Win_Off,Capital Cost|Electricity|Wind|Offshore
Cap_Cos_Ele_Win_Ons,Capital Cost|Electricity|Wind|Onshore
Cap_Cos_Gas_Bio_w_CCS,Capital Cost|Gases|Biomass|w/ CCS
Cap_Cos_Gas_Bio_wo_CCS,Capital Cost|Gases|Biomass|w/o CCS
Cap_Cos_Gas_Coa_w_CCS,Capital Cost|Gases|Coal|w/ CCS
Cap_Cos_Gas_Coa_wo_CCS,Capital Cost|Gases|Coal|w/o CCS
Cap_Cos_Hyd_Bio_w_CCS,Capital Cost|Hydrogen|Biomass|w/ CCS
Cap_Cos_Hyd_Bio_wo_CCS,Capital Cost|Hydrogen|Biomass|w/o CCS
Cap_Cos_Hyd_Coa_w_CCS,Capital Cost|Hydrogen|Coal|w/ CCS
Cap_Cos_Hyd_Coa_wo_CCS,Capital Cost|Hydrogen|Coal|w/o CCS
Cap_Cos_Hyd_Ele,Capital Cost|Hydrogen|Electricity
Cap_Cos_Hyd_Gas_w_CCS,Capital Cost|Hydrogen|Gas|w/ CCS
Cap_Cos_Hyd_Gas_wo_CCS,Capital Cost|Hydrogen|Gas|w/o CCS
Cap_Cos_Liq_Bio_w_CCS,Capital Cost|Liquids|Biomass|w/ CCS
Cap_Cos_Liq_Bio_wo_CCS,Capital Cost|Liquids|Biomass|w/o CCS
Cap_Cos_Liq_Coa_w_CCS,Capital Cost|Liquids|Coal|w/ CCS
Cap_Cos_Liq_Coa_wo_CCS,Capital Cost|Liquids|Coal|w/o CCS
Cap_Cos_Liq_Gas_w_CCS,Capital Cost|Liquids|Gas|w/ CCS
Cap_Cos_Liq_Gas_wo_CCS,Capital Cost|Liquids|Gas|w/o CCS
Cap_Cos_Liq_Oil,Capital Cost|Liquids|Oil
Eff_Ele_Bio_w_CCS,Efficiency|Electricity|Biomass|w/ CCS
Eff_Ele_Bio_wo_CCS,Efficiency|Electricity|Biomass|w/o CCS
Eff_Ele_Coa_w_CCS,Efficiency|Electricity|Coal|w/ CCS
Eff_Ele_Coa_wo_CCS,Efficiency|Electricity|Coal|w/o CCS
Eff_Ele_Gas_w_CCS,Efficiency|Electricity|Gas|w/ CCS
Eff_Ele_Gas_wo_CCS,Efficiency|Electricity|Gas|w/o CCS
Eff_Gas_Bio_w_CCS,Efficiency|Gases|Biomass|w/ CCS
Eff_Gas_Bio_wo_CCS,Efficiency|Gases|Biomass|w/o CCS
Eff_Gas_Coa_w_CCS,Efficiency|Gases|Coal|w/ CCS
Eff_Gas_Coa_wo_CCS,Efficiency|Gases|Coal|w/o CCS
Eff_Hyd_Bio_w_CCS,Efficiency|Hydrogen|Biomass|w/ CCS
Eff_Hyd_Bio_wo_CCS,Efficiency|Hydrogen|Biomass|w/o CCS
Eff_Hyd_Coa_w_CCS,Efficiency|Hydrogen|Coal|w/ CCS
