Variable2,Variable
Prm_Ene_Oil_w_CCS,Primary Energy|Oil|w/ CCS
Prm_Ene_Oil_wo_CCS,Primary Energy|Oil|w/o CCS
Prm_Ene_Solar,Primary Energy|Solar
Prm_Ene_Win,Primary Energy|Wind
Sec_Ene_Ele_Bio_w_CCS,Secondary Energy|Electricity|Biomass|w/ CCS
Sec_Ene_Ele_Bio_wo_CCS,Secondary Energy|Electricity|Biomass|w/o CCS
Sec_Ene_Ele_Coa_w_CCS,Secondary Energy|Electricity|Coal|w/ CCS
Sec_Ene_Ele_Coa_wo_CCS,Secondary Energy|Electricity|Coal|w/o CCS
Sec_Ene_Ele_Gas_w_CCS,Secondary Energy|Electricity|Gas|w/ CCS
Sec_Ene_Ele_Gas_wo_CCS,Secondary Energy|Electricity|Gas|w/o CCS
Sec_Ene_Ele_Geo,Secondary Energy|Electricity|Geothermal
Sec_Ene_Ele_Hyd,Secondary Energy|Electricity|Hydro
Sec_Ene_Ele_Oil_w_CCS,Secondary Energy|Electricity|Oil|w/ CCS
Sec_Ene_Ele_Oil_wo_CCS,Secondary Energy|Electricity|Oil|w/o CCS
Sec_Ene_Ele_Solar,Secondary Energy|Electricity|Solar
Sec_Ene_Ele_Win,Secondary Energy|Electricity|Wind
Sec_Ene_Gas,Secondary Energy|Gases
Sec_Ene_Heat,Secondary Energy|Heat
Sec_Ene_Hyd,Secondary Energy|Hydrogen
Sec_Ene_Liq_Bio,Secondary Energy|Liquids|Biomass
Sec_Ene_Liq_Coa,Secondary Energy|Liquids|Coal
Sec_Ene_Liq_Coa_w_CCS,Secondary Energy|Liquids|Coal|w/ CCS
Sec_Ene_Liq_Coa_wo_CCS,Secondary Energy|Liquids|Coal|w/o CCS
Sec_Ene_Liq_Fos,Secondary Energy|Liquids|Fossil
Sec_Ene_Liq_Fos_w_CCS,Secondary Energy|Liquids|Fossil|w/ CCS
Sec_Ene_Liq_Fos_wo_CCS,Secondary Energy|Liquids|Fossil|w/o CCS
Sec_Ene_Liq_Gas,Secondary Energy|Liquids|Gas
Sec_Ene_Liq_Gas_w_CCS,Secondary Energy|Liquids|Gas|w/ CCS
Sec_Ene_Liq_Gas_wo_CCS,Secondary Energy|Liquids|Gas|w/o CCS
Sec_Ene_Liq_Oil,Secondary Energy|Liquids|Oil
Sec_Ene_Liq_Oth,Secondary Energy|Liquids|Other
Sec_Ene_Solids,Secondary Energy|Solids
Tem_Glo_Mea,Temperature|Global Mean
Trd_Prm_Ene_Coa_Vol,Trade|Primary Energy|Coal|Volume
Trd_Prm_Ene_Gas_Vol,Trade|Primary Energy|Gas|Volume
Trd_Prm_Ene_Oil_Vol,Trade|Primary Energy|Oil|Volume
Trd_Sec_Ene_Ele_Vol,Trade|Secondary Energy|Electricity|Volume
Cnc_CH4,Concentration|CH4
Cnc_N2O,Concentration|N2O
Car_Seq_CCS_Bio,Carbon Sequestration|CCS|Biomass
Ene_Ser_Res_and_Com_Flo_Spa,Energy Service|Residential and Commercial|Floor Space
Ene_Ser_Tra_Fre,Energy Service|Transportation|Freight
Ene_Ser_Tra_Pss,Energy Service|Transportation|Passenger
Fin_Ene_Ind_SolidsBio,Final Energy|Industry|Solids|Biomass
Fin_Ene_Ind_SolidsCoa,Final Energy|Industry|Solids|Coal
Fin_Ene_Oth_Sec_Ele,Final Energy|Other Sector|Electricity
Fin_Ene_Oth_Sec_Gas,Final Energy|Other Sector|Gases
Fin_Ene_Oth_Sec_Heat,Final Energy|Other Sector|Heat
Fin_Ene_Oth_Sec_Hyd,Final Energy|Other Sector|Hydrogen
Fin_Ene_Oth_Sec_Liq,Final Energy|Other Sector|Liquids
Fin_Ene_Oth_Sec_Oth,Final Energy|Other Sector|Other
Fin_Ene_Oth_Sec_Solids,Final Energy|Other Sector|Solids
Fin_Ene_Res_and_Com_SolidsBio,Final Energy|Residential and Commercial|Solids|Biomass
Fin_Ene_Res_and_Com_SolidsCoa,Final Energy|Residential and Commercial|Solids|Coal
Fin_Ene_SolidsBio,Final Energy|Solids|Biomass
Fin_Ene_SolidsBio_Tra,Final Energy|Solids|Biomass|Traditional
Fin_Ene_SolidsCoa,Final Energy|Solids|Coal
Fin_Ene_Tra_Fre,Final Energy|Transportation|Freight
Fin_Ene_Tra_Pss,Final Energy|Transportation|Passenger
Frc_Aer,Forcing|Aerosol
Frc_Aer_BC,Forcing|Aerosol|BC
Frc_Aer_OC,Forcing|Aerosol|OC
Frc_Aer_Oth,Forcing|Aerosol|Other
Frc_Aer_Sul_Dir,Forcing|Aerosol|Sulfate Direct
Frc_CH4,Forcing|CH4
Frc_F_G,Forcing|F-Gases
Frc_Kyo_Gas,Forcing|Kyoto Gases
Frc_N2O,Forcing|N2O
Frc_Oth,Forcing|Other
Pop_Urb,Population|Urban
Prm_Ene_Sec_Ene_Trd,Primary Energy|Secondary Energy Trade
Sec_Ene_Ele_Oce,Secondary Energy|Electricity|Ocean
Sec_Ene_Ele_SolarCSP,Secondary Energy|Electricity|Solar|CSP
Sec_Ene_Ele_SolarPV,Secondary Energy|Electricity|Solar|PV
Sec_Ene_Ele_Win_Off,Secondary Energy|Electricity|Wind|Offshore
Sec_Ene_Ele_Win_Ons,Secondary Energy|Electricity|Wind|Onshore
Sec_Ene_Gas_Bio,Secondary Energy|Gases|Biomass
Sec_Ene_Gas_Coa,Secondary Energy|Gases|Coal
Sec_Ene_Gas_Nat_Gas,Secondary Energy|Gases|Natural Gas
Sec_Ene_Gas_Oth,Secondary Energy|Gases|Other
Sec_Ene_Heat_Bio,Secondary Energy|Heat|Biomass
Sec_Ene_Heat_Coa,Secondary Energy|Heat|Coal
Sec_Ene_Heat_Gas,Secondary Energy|Heat|Gas
Sec_Ene_Heat_Geo,Secondary Energy|Heat|Geothermal
Sec_Ene_Heat_Nuc,Secondary Energy|Heat|Nuclear
Sec_Ene_Heat_Oil,Secondary Energy|Heat|Oil
Sec_Ene_Heat_Oth,Secondary Energy|Heat|Other
Sec_Ene_Heat_Solar,Secondary Energy|Heat|Solar
Sec_Ene_Hyd_Bio,Secondary Energy|Hydrogen|Biomass
Sec_Ene_Hyd_Bio_w_CCS,Secondary Energy|Hydrogen|Biomass|w/ CCS
Sec_Ene_Hyd_Bio_wo_CCS,Secondary Energy|Hydrogen|Biomass|w/o CCS
Sec_Ene_Hyd_Coa,Secondary Energy|Hydrogen|Coal
Sec_Ene_Hyd_Coa_w_CCS,Secondary Energy|Hydrogen|Coal|w/ CCS
Sec_Ene_Hyd_Coa_wo_CCS,Secondary Energy|Hydrogen|Coal|w/o CCS
Sec_Ene_Hyd_Ele,Secondary Energy|Hydrogen|Electricity
Sec_Ene_Hyd_Gas,Secondary Energy|Hydrogen|Gas
Sec_Ene_Hyd_Gas_w_CCS,Secondary Energy|Hydrogen|Gas|w/ CCS
Sec_Ene_Hyd_Gas_wo_CCS,Secondary Energy|Hydrogen|Gas|w/o CCS
Sec_Ene_Hyd_Nuc,Secondary Energy|Hydrogen|Nuclear
Sec_Ene_Hyd_Oth,Secondary Energy|Hydrogen|Other
Sec_Ene_Hyd_Solar,Secondary Energy|Hydrogen|Solar
Sec_Ene_Liq_Bio_1st_Gen,Secondary Energy|Liquids|Biomass|1st Generation
Sec_Ene_Liq_Bio_Ene_Cro,Secondary Energy|Liquids|Biomass|Energy Crops
